name,brand,url,mainImageurl,SKU,Reviews,Rating,Model,retailer,storesku,omsid
1 -Outlet 900 Joules 1875 -Watts 1875VA White Indoor AC Surge Protector,Utilitech,https://www.lowes.com/pd/Utilitech-1-Outlet-900-Joules-1875-Watt-1875Va-Indoor-Ac-Surge-Protector/5014602717,https://mobileimages.lowes.com/productimages/9f2cd31b-d271-4684-96ff-6fb4dce783b7/63789141.jpg,615221,59,4.8,LA-7A-21,Lowes,615221,5014602717
1/12-HP 115 -Volt 5.6-Gallon Stainless steel Electric utility pump,Utilitech,https://www.lowes.com/pd/Utilitech-0-083-HPStainless-Steel-Electric-Utility-Pump/1000596941,https://mobileimages.lowes.com/productimages/6684120d-7e03-484d-9500-f6de9714a0d5/10044687.jpg,955645,72,3.9,50AC-110N,Lowes,955645,1000596941
1/2-HP 115 and 230 -Volt 11-Gallon Cast iron Shallow well jet pump,Utilitech,https://www.lowes.com/pd/Utilitech-0-5-HPCast-Iron-Shallow-Well-Jet-Pump/1000667227,https://mobileimages.lowes.com/productimages/3710b2a9-c0e4-4e00-b480-93be2fcfea21/10041964.jpg,955549,60,3.8,148012,Lowes,955549,1000667227
1/2-HP 115 -Volt 103-Gallon Cast iron Sewage sump pump,Zoeller,https://www.lowes.com/pd/Zoeller-0-5-HPCast-Iron-Submersible-Sump-Pump/1000667351,https://mobileimages.lowes.com/productimages/5206ff81-1bb3-4d7c-a183-3692551e3e8e/10042885.jpg,955619,75,4.2,1263-0001,Lowes,955619,1000667351
1/2-HP 115 -Volt 12-Gallon Stainless steel Submersible well pump,Zoeller,https://www.lowes.com/pd/Zoeller-1-2-HP-115-Volt-Stainless-Steel-Submersible-Well-Pump/5014903175,https://mobileimages.lowes.com/productimages/fdd800bf-c6d3-446e-ba50-e65e82d7fab6/67422321.jpeg,955605,NULL,NULL,1450-0010,Lowes,955605,5014903175
1/2-HP 115 -Volt 80-Gallon Cast iron Submersible sump pump,Zoeller,https://www.lowes.com/pd/Zoeller-0-5-HPCast-Iron-Submersible-Sump-Pump/1000675913,https://mobileimages.lowes.com/productimages/c2cf6f9d-c231-4524-8712-4f5aad8e9fed/10064060.jpg,955621,100,4.7,1096-0001,Lowes,955621,1000675913
1/2-HP 230 -Volt 12-Gallon Stainless steel Submersible well pump,Zoeller,https://www.lowes.com/pd/Zoeller-1-2-HP-230-Volt-Stainless-Steel-Submersible-Well-Pump/5014903179,https://mobileimages.lowes.com/productimages/fdd800bf-c6d3-446e-ba50-e65e82d7fab6/67422321.jpeg,955606,NULL,NULL,1450-0011,Lowes,955606,5014903179
1/3-HP 115 -Volt 30-Gallon Thermoplastic Submersible utility pump,Utilitech,https://www.lowes.com/pd/Utilitech-0-33-HPThermoplastic-Submersible-Utility-Pump/1000668993,https://mobileimages.lowes.com/productimages/f96533fc-fd01-4f83-ad1f-e53afc1170f9/10043599.jpg,955647,464,4.3,148002,Lowes,955647,1000668993
1/3-HP 115 -Volt 35-Gallon Thermoplastic Submersible utility pump,Zoeller,https://www.lowes.com/pd/Zoeller-0-33-HPThermoplastic-Submersible-Utility-Pump/1000668957,https://mobileimages.lowes.com/productimages/a11ae144-fc7c-4188-8a65-220ad6c25c8d/10043808.jpg,955643,176,4,1043-0006,Lowes,955643,1000668957
1/3-HP 115 -Volt 42-Gallon Cast iron Submersible sump pump,Zoeller,https://www.lowes.com/pd/Zoeller-0-33-HPCast-Iron-Submersible-Sump-Pump/1000675883,https://mobileimages.lowes.com/productimages/e8c6a27b-c16f-4b3e-aa42-a5672a7c9a53/10064174.jpg,955615,237,4.2,1073-0001,Lowes,955615,1000675883
