Store #,Store Name,Store Address,Store City,Store ZIp,Store Phone,Store Fax,State
485,"LOWE'S OF FT. OGLETHORPE, GA.",2215 BATTLEFIELD PKWY,FORT OGLETHORPE,30742-4029,(706)866-0948,(706)866-7771,GA
3216,"LOWE'S OF KILL DEVIL HILLS, NC",1500 NORTH CROATAN HIGHWAY,KILL DEVIL HILLS,27948,(252)449-2060,(252)449-2061,NC
1188,"LOWE'S OF LAUREL, MD",14300 BALTIMORE AVENUE,LAUREL,20707-4952,(301)498-3466,(301)498-5163,MD
3202,"LOWE'S OF HOBBS, NM",1510 WEST JOE HARVEY BLVD,HOBBS,88240,(575)492-3230,(575)492-3231,NM
1086,"LOWE'S OF MODESTO, CA",3801 PELANDALE AVENUE,MODESTO,95356-8300,(209)545-7676,(209)545-7675,CA
57,"LOWE'S OF BURLINGTON, IA.",3435 AGENCY,BURLINGTON,52601-1910,(319)752-3333,(319)752-5412,IA
2574,"LOWE'S OF MIDWEST, OK",7151 SE 29TH STREET,MIDWEST CITY,73110-5903,(405)869-8700,(405)869-8701,OK
168,"LOWE'S OF HAMILTON, OH.",1495 MAIN ST.,HAMILTON,45013-1075,(513)737-3700,(513)737-3787,OH
2721,"LOWE'S OF NORTH LAS VEGAS, NV",2570 EAST CRAIG ROAD,NORTH LAS VEGAS,89030-3386,(702)352-0490,(702)352-0491,NV
474,"LOWE'S OF E. LOUISVILLE, KY.",501 S. HURSTBOURNE PKWY,LOUISVILLE,40222-5038,(502)394-9400,(502)394-9344,KY
72,"LOWE'S OF PONCA CITY, OK",3500 NORTH 14TH ST.,PONCA CITY,74601-1040,(580)765-1111,(580)765-1757,OK
2576,"LOWE'S OF MONETT, MO",925 EAST US HIGHWAY 60,MONETT,65708-9215,(417)393-2000,(417)393-2001,MO
2204,"LOWE'S OF E. ATHENS, GA",3341 LEXINGTON ROAD,ATHENS,30605-2472,(706)208-3501,(706)208-3502,GA
1559,"LOWE'S OF SALINA, KS",3035 SOUTH 9TH STREET,SALINA,67401-7869,(785)452-9303,(785)452-9458,KS
3317,"LOWE'S OF N. MT. PLEASANT, SC",3265 NORTH HIGHWAY 17,MOUNT PLEASANT,29466,(843)972-6250,(843)972-6251,SC
71,"LOWE'S OF GOSHEN, IN",2219 RIETH BLVD.,GOSHEN,46526-5804,(574)875-7000,(574)875-1803,IN
3214,"LOWE'S OF POWAY, CA",13750 POWAY ROAD,POWAY,92064,(858)391-2630,(858)391-2631,CA
2368,"LOWE'S OF N. CONCORD, NC",3025 DALE EARNHARDT BLVD,KANNAPOLIS,28083-1406,(704)720-9810,(704)720-9811,NC
2401,"LOWE'S OF OGDENSBURG, NY",2001 FORD STREET EXTENSION,OGDENSBURG,13669-1918,(315)394-1130,(315)394-1131,NY
487,"LOWE'S OF CHAPEL HILL, NC",1801 FORDHAM BOULEVARD,CHAPEL HILL,27514-2200,(919)967-3289,(919)967-6104,NC
2820,"LOWE'S OF N. PEORIA, AZ",25311 N LAKE PLEASANT PKWY,PEORIA,85383,(623)537-2640,(623)537-2641,AZ
2244,"LOWE'S OF COLUMBIA, MD",8281 GATEWAY OVERLOOK DRIVE,ELKRIDGE,21075,(443)896-0970,(443)896-0971,MD
470,"LOWE'S OF WAYNESVILLE, NC",100 LINER COVE ROAD,WAYNESVILLE,28786-2703,(828)456-9999,(828)456-9148,NC
2709,"LOWE'S OF JEFFERSON CITY, TN",638 E BROADWAY BOULEVARD,JEFFERSON CITY,37760-4900,(865)475-1361,(865)475-1362,TN
1167,"LOWE'S OF OLYMPIA, WA",4230 MARTIN WAY EAST,OLYMPIA,98516-5354,(360)486-0856,(360)486-0868,WA
3166,"LOWE'S OF DESTIN, FL",4405 LEGENDARY DRIVE,DESTIN,32541,(850)269-7040,(850)269-7041,FL
1531,"LOWE'S OF BESSEMER, AL",1201 19TH STREET NORTH,BESSEMER,35020-4770,(205)428-1024,(205)428-2973,AL
1948,"LOWE'S OF BEE CAVE, TX",12611 SUITE 100 SHOPS PKWY,BEE CAVE,78738,(512)634-4432,(512)634-4433,TX
3453,"LOWE'S OF PARRISH, FL",8740 US 301 NORTH,PARRISH,34219,(941)981-6760,(941)981-6761,FL
503,"LOWE'S OF E. JACKSONVILLE, FL",9525 REGENCY SQUARE BLVD N,JACKSONVILLE,32225-8128,(904)855-8088,(904)855-0266,FL
436,"LOWE'S OF WINSTON WEST, NC",935 HANES MALL BLVD.,WINSTON-SALEM,27103-5528,(336)768-2400,(336)768-2820,NC
2724,"LOWE'S OF N. WINCHESTER, VA",261 MARKET ST,Winchester,22602,(540)409-3232,(540)409-3233,VA
2833,"LOWE'S OF SHOW LOW, AZ",5800 S WHITE MOUNTAIN ROAD,SHOW LOW,85901,(928)532-2620,(928)532-2621,AZ
582,"LOWE'S OF FT. MYERS, FL",14960 S. TAMIAMI TRAIL,FORT MYERS,33912-1954,(239)433-9255,(239)433-9157,FL
1752,"LOWE'S OF GROVE, OK",2131 SOUTH MAIN STREET,GROVE,74344-5327,(918)801-4000,(918)801-4001,OK
3256,"LOWE'S OF WASHINGTON, DC",2438 MARKET STREET NE,WASHINGTON,20018,(202)378-2500,(202)378-2501,DC
1133,"LOWE'S OF WEST VALLEY CITY, UT",4050 SOUTH 5600 WEST,WEST VALLEY CITY,84120-3934,(801)967-6829,(801)982-9045,UT
3645,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3351,"LOWE'S OF WILDWOOD, FL",5630 SEVEN MILE DRIVE,WILDWOOD,34785,(352)330-3440,(352)330-3441,FL
2235,"LOWE'S OF DECATUR, TX",1201 W. US HIGHWAY 380 BUSINESS,DECATUR,76234,(940)626-3100,(940)626-3101,TX
